extraction_id,blind_id,direction,source_regeneration_seed,continuation_seed,arm,Y_next,Y_final,M_next,M_final
Y029,B036,above_good,9506,209506,correction,16700000.0,16700000.0,-0.17326732673267325,-0.17326732673267325
Y030,B012,below_good,9206,209206,natural,38000000.0,20000000.0,-0.8811881188118812,0.009900990099009901
Y031,B008,above_good,9001,209001,natural,20475000.0,20475000.0,0.013613861386138614,0.013613861386138614
Y032,B039,below_good,9608,209608,natural,103000000.0,103000000.0,-4.099009900990099,-4.099009900990099
Y033,B011,below_good,9107,209107,natural,17500000.0,17550000.0,0.13366336633663367,0.1311881188118812
Y034,B047,above_good,9701,209701,correction,22000000.0,22000000.0,0.0891089108910891,0.0891089108910891
Y035,B012,below_good,9207,209207,correction,20000000.0,35000000.0,0.009900990099009901,-0.7326732673267327
Y036,B008,above_good,9000,209000,correction,20150000.0,20475000.0,-0.0024752475247524753,0.013613861386138614
Y037,B036,above_good,9506,209506,natural,16500000.0,16800000.0,-0.18316831683168316,-0.16831683168316833
Y038,B008,above_good,9006,209006,correction,20240000.0,20240000.0,0.0019801980198019802,0.0019801980198019802
Y039,B011,below_good,9108,209108,natural,17500000.0,17550000.0,0.13366336633663367,0.1311881188118812
Y040,B011,below_good,9109,209109,correction,17550000.0,17550000.0,0.1311881188118812,0.1311881188118812
Y041,B039,below_good,9608,209608,correction,110000000.0,110000000.0,-4.445544554455446,-4.445544554455446
Y042,B011,below_good,9105,209105,natural,17500000.0,17550000.0,0.13366336633663367,0.1311881188118812
Y043,B036,above_good,9508,209508,natural,13500000.0,17500000.0,-0.3316831683168317,-0.13366336633663367
Y044,B012,below_good,9205,209205,natural,19800000.0,38000000.0,0.019801980198019802,-0.8811881188118812
Y045,B036,above_good,9508,209508,correction,15000000.0,16000000.0,-0.25742574257425743,-0.2079207920792079
Y046,B012,below_good,9205,209205,correction,38000000.0,43000000.0,-0.8811881188118812,-1.1287128712871286
Y047,B012,below_good,9208,209208,correction,38000000.0,40000000.0,-0.8811881188118812,-0.9801980198019802
Y048,B039,below_good,9605,209605,natural,97000000.0,100000000.0,-3.801980198019802,-3.9504950495049505
Y049,B008,above_good,9005,209005,natural,19800000.0,20475000.0,-0.019801980198019802,0.013613861386138614
Y050,B012,below_good,9207,209207,natural,38000000.0,37000000.0,-0.8811881188118812,-0.8316831683168316
Y051,B008,above_good,9007,209007,correction,20350000.0,20120000.0,0.007425742574257425,-0.0039603960396039604
Y052,B039,below_good,9601,209601,natural,105000000.0,105000000.0,-4.198019801980198,-4.198019801980198
Y053,B012,below_good,9209,209209,natural,20000000.0,20000000.0,0.009900990099009901,0.009900990099009901
Y054,B008,above_good,9009,209009,natural,20150000.0,20240000.0,-0.0024752475247524753,0.0019801980198019802
Y055,B039,below_good,9605,209605,correction,100000000.0,100000000.0,-3.9504950495049505,-3.9504950495049505
Y056,B011,below_good,9108,209108,correction,17550000.0,17700000.0,0.1311881188118812,0.12376237623762376
Y057,B008,above_good,9000,209000,natural,20150000.0,20350000.0,-0.0024752475247524753,0.007425742574257425
Y058,B039,below_good,9604,209604,correction,113000000.0,100000000.0,-4.594059405940594,-3.9504950495049505
Y059,B011,below_good,9107,209107,correction,17500000.0,17550000.0,0.13366336633663367,0.1311881188118812
Y060,B039,below_good,9606,209606,correction,90000000.0,105000000.0,-3.4554455445544554,-4.198019801980198
Y061,B011,below_good,9105,209105,correction,17500000.0,17700000.0,0.13366336633663367,0.12376237623762376
Y062,B039,below_good,9604,209604,natural,100000000.0,100000000.0,-3.9504950495049505,-3.9504950495049505
Y063,B039,below_good,9603,209603,natural,102000000.0,102000000.0,-4.0495049504950495,-4.0495049504950495
Y064,B039,below_good,9609,209609,correction,100000000.0,102000000.0,-3.9504950495049505,-4.0495049504950495
Y065,B047,above_good,9708,209708,natural,22000000.0,22000000.0,0.0891089108910891,0.0891089108910891
Y066,B047,above_good,9705,209705,natural,21000000.0,22000000.0,0.039603960396039604,0.0891089108910891
Y067,B012,below_good,9203,209203,correction,38000000.0,38000000.0,-0.8811881188118812,-0.8811881188118812
Y068,B039,below_good,9606,209606,natural,80000000.0,98000000.0,-2.9603960396039604,-3.8514851485148514
Y069,B036,above_good,9500,209500,correction,16500000.0,16675000.0,-0.18316831683168316,-0.1745049504950495
Y070,B008,above_good,9009,209009,correction,15000000.0,20125000.0,-0.25742574257425743,-0.0037128712871287127
Y071,B039,below_good,9602,209602,correction,100000000.0,100000000.0,-3.9504950495049505,-3.9504950495049505
Y072,B012,below_good,9203,209203,natural,40000000.0,30000000.0,-0.9801980198019802,-0.48514851485148514
Y073,B047,above_good,9707,209707,natural,22000000.0,22000000.0,0.0891089108910891,0.0891089108910891
Y074,B008,above_good,9002,209002,correction,20100000.0,20475000.0,-0.0049504950495049506,0.013613861386138614
Y075,B008,above_good,9001,209001,correction,20400000.0,20240000.0,0.009900990099009901,0.0019801980198019802
Y076,B012,below_good,9202,209202,correction,40000000.0,20000000.0,-0.9801980198019802,0.009900990099009901
Y077,B008,above_good,9003,209003,correction,19800000.0,20124000.0,-0.019801980198019802,-0.0037623762376237622
Y078,B008,above_good,9002,209002,natural,20150000.0,20475000.0,-0.0024752475247524753,0.013613861386138614
Y079,B008,above_good,9004,209004,correction,20160000.0,20475000.0,-0.0019801980198019802,0.013613861386138614
Y080,B011,below_good,9102,209102,natural,17600000.0,17550000.0,0.12871287128712872,0.1311881188118812
Y081,B039,below_good,9600,209600,correction,100000000.0,100000000.0,-3.9504950495049505,-3.9504950495049505
Y082,B047,above_good,9706,209706,natural,22000000.0,22000000.0,0.0891089108910891,0.0891089108910891
