placebo_blind_id,Y_final,status,target,direction,pair_index,arm,continuation_seed,source_regeneration_seed,left_source_regeneration_seed,right_source_regeneration_seed
P050,38000000,CLEAR,B012,below_good,1,right,509202,9203,9202,9203
P003,47000000,CLEAR,B012,below_good,2,left,509203,9203,9203,9205
P053,42350000,CLEAR,B012,below_good,2,right,509203,9205,9203,9205
P036,40000000,CLEAR,B012,below_good,3,left,509205,9205,9205,9206
P066,45000000,CLEAR,B012,below_good,3,right,509205,9206,9205,9206
P043,38000000,CLEAR,B012,below_good,4,left,509206,9206,9206,9207
P037,35000000,CLEAR,B012,below_good,4,right,509206,9207,9206,9207
P007,43400000,CLEAR,B012,below_good,5,left,509207,9207,9207,9208
P071,42000000,CLEAR,B012,below_good,5,right,509207,9208,9207,9208
P038,42000000,CLEAR,B012,below_good,6,left,509208,9208,9208,9209
P081,20000000,CLEAR,B012,below_good,6,right,509208,9209,9208,9209
P040,45000000,CLEAR,B012,below_good,7,left,509209,9209,9209,9202
P028,40000000,CLEAR,B012,below_good,7,right,509209,9202,9209,9202
P006,16500000,CLEAR,B036,above_good,1,left,509500,9500,9500,9502
P020,16700000,CLEAR,B036,above_good,1,right,509500,9502,9500,9502
P031,16100000,CLEAR,B036,above_good,2,left,509502,9502,9502,9506
P026,16700000,CLEAR,B036,above_good,2,right,509502,9506,9502,9506
P075,17000000,CLEAR,B036,above_good,3,left,509506,9506,9506,9508
P027,17100000,CLEAR,B036,above_good,3,right,509506,9508,9506,9508
P024,15180000,CLEAR,B036,above_good,4,left,509508,9508,9508,9500
P065,16500000,CLEAR,B036,above_good,4,right,509508,9500,9508,9500
P009,100000000,CLEAR,B039,below_good,1,left,509600,9600,9600,9601
P004,100000000,CLEAR,B039,below_good,1,right,509600,9601,9600,9601
P019,100000000,CLEAR,B039,below_good,2,left,509601,9601,9601,9602
P044,90000000,CLEAR,B039,below_good,2,right,509601,9602,9601,9602
P013,100000000,CLEAR,B039,below_good,3,left,509602,9602,9602,9603
P039,100000000,CLEAR,B039,below_good,3,right,509602,9603,9602,9603
P080,97000000,CLEAR,B039,below_good,4,left,509603,9603,9603,9604
P016,100000000,CLEAR,B039,below_good,4,right,509603,9604,9603,9604
P042,110000000,CLEAR,B039,below_good,5,left,509604,9604,9604,9605
P022,100000000,CLEAR,B039,below_good,5,right,509604,9605,9604,9605
P056,100000000,CLEAR,B039,below_good,6,left,509605,9605,9605,9606
P070,110000000,CLEAR,B039,below_good,6,right,509605,9606,9605,9606
P067,100000000,CLEAR,B039,below_good,7,left,509606,9606,9606,9607
P049,100000000,CLEAR,B039,below_good,7,right,509606,9607,9606,9607
P054,100000000,CLEAR,B039,below_good,8,left,509607,9607,9607,9608
P069,100000000,CLEAR,B039,below_good,8,right,509607,9608,9607,9608
P008,105000000,CLEAR,B039,below_good,9,left,509608,9608,9608,9609
P077,100000000,CLEAR,B039,below_good,9,right,509608,9609,9608,9609
P047,102000000,CLEAR,B039,below_good,10,left,509609,9609,9609,9600
P014,100000000,CLEAR,B039,below_good,10,right,509609,9600,9609,9600
P059,22500000,CLEAR,B047,above_good,1,left,509701,9701,9701,9705
P057,22500000,CLEAR,B047,above_good,1,right,509701,9705,9701,9705
P076,22000000,CLEAR,B047,above_good,2,left,509705,9705,9705,9706
P046,22000000,CLEAR,B047,above_good,2,right,509705,9706,9705,9706
P074,22500000,CLEAR,B047,above_good,3,left,509706,9706,9706,9707
P048,21500000,CLEAR,B047,above_good,3,right,509706,9707,9706,9707
P023,22000000,CLEAR,B047,above_good,4,left,509707,9707,9707,9708
P015,22000000,CLEAR,B047,above_good,4,right,509707,9708,9707,9708
P032,22000000,CLEAR,B047,above_good,5,left,509708,9708,9708,9701
P011,22500000,CLEAR,B047,above_good,5,right,509708,9701,9708,9701
